y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
1086.62,0.72,0.456514879,1.361515351,1.97E+00,-0.45,-0.306464949,20.310892,23.3717907
1093.96,0.72,0.454873486,1.35507805,1.96E+00,-0.45,-0.303766509,20.31983893,23.3779008
1101.31,0.71,0.453244445,1.348688256,1.94E+00,-0.45,-0.301068543,20.32869858,23.38379268
1108.68,0.71,0.451627281,1.342350721,1.93E+00,-0.44,-0.298370102,20.33747093,23.38990278
1116.07,0.71,0.450021994,1.336060694,1.91E+00,-0.44,-0.295671662,20.34615601,23.39579467
1123.47,0.7,0.448429534,1.329822925,1.90E+00,-0.44,-0.292973696,20.35477561,23.40168655
1130.88,0.7,0.446848951,1.323632664,1.89E+00,-0.43,-0.290275255,20.36330793,23.40736021
1138.31,0.7,0.445281195,1.317494662,1.87E+00,-0.43,-0.287576815,20.37173114,23.4132521
1145.76,0.69,0.443725315,1.311404167,1.86E+00,-0.42,-0.284878849,20.38008889,23.41892576
1153.22,0.69,0.442182263,1.305370682,1.84E+00,-0.42,-0.282180408,20.38838117,23.42438121
1160.69,0.68,0.440652039,1.299384704,1.83E+00,-0.42,-0.279481493,20.39656434,23.43005487
1168.18,0.68,0.439134166,1.293446235,1.81E+00,-0.41,-0.276783052,20.40468204,23.43551032
1175.68,0.68,0.43762912,1.287564774,1.80E+00,-0.41,-0.274084136,20.41269064,23.44096577
1183.19,0.67,0.436136901,1.281730821,1.78E+00,-0.41,-0.27138522,20.42063377,23.446203
1190.72,0.67,0.43465751,1.275953878,1.77E+00,-0.4,-0.268686305,20.42851144,23.45144023
1198.26,0.66,0.43319142,1.270224442,1.75E+00,-0.4,-0.265987389,20.43627999,23.45667746
1205.82,0.66,0.431738158,1.264552016,1.74E+00,-0.39,-0.263288473,20.44398309,23.46191469
1213.39,0.66,0.430298673,1.258927097,1.73E+00,-0.39,-0.260589082,20.45159889,23.46715192
1220.97,0.65,0.428872015,1.253359188,1.71E+00,-0.39,-0.257890166,20.45912741,23.47217093
1228.57,0.65,0.427458659,1.247843537,1.70E+00,-0.38,-0.255190776,20.46659046,23.47718994
1236.18,0.65,0.42605908,1.242380145,1.68E+00,-0.38,-0.252491385,20.47396622,23.48220895
1243.8,0.64,0.424672804,1.236969011,1.67E+00,-0.37,-0.249791994,20.4812547,23.48700974
1251.44,0.64,0.423300305,1.231614887,1.65E+00,-0.37,-0.247092603,20.48847771,23.49181054
1259.08,0.63,0.421941108,1.226313021,1.64E+00,-0.37,-0.244393212,20.49561344,23.49661133
1266.74,0.63,0.420596163,1.221063414,1.63E+00,-0.36,-0.241693821,20.50266188,23.50141212
1274.42,0.63,0.419264521,1.215870816,1.61E+00,-0.36,-0.238993955,20.50962303,23.5059947
1282.1,0.62,0.417946655,1.210730476,1.60E+00,-0.36,-0.236294565,20.51651871,23.51057728
1289.8,0.62,0.416643043,1.205642395,1.59E+00,-0.35,-0.233594699,20.52332711,23.51515985
1297.51,0.62,0.415353682,1.200611324,1.57E+00,-0.35,-0.230895308,20.53007004,23.51952421
1305.23,0.61,0.414077624,1.195637261,1.56E+00,-0.34,-0.228195442,20.53672569,23.52410679
1312.96,0.61,0.412816293,1.190715457,1.55E+00,-0.34,-0.225495576,20.54331587,23.52847114
1320.71,0.61,0.411569214,1.185850663,1.53E+00,-0.34,-0.22279571,20.54979694,23.53261728
1328.46,0.6,0.410335913,1.181038127,1.52E+00,-0.33,-0.220095369,20.55623437,23.53698164
1336.23,0.6,0.409116863,1.1762826,1.50E+00,-0.33,-0.217395503,20.56256269,23.54112778
1344.01,0.6,0.407912542,1.171584083,1.49E+00,-0.33,-0.214695637,20.56882554,23.54527392
1351.8,0.59,0.406721997,1.166942575,1.48E+00,-0.32,-0.211995296,20.57502293,23.54942006
1359.6,0.59,0.40554618,1.162353326,1.46E+00,-0.32,-0.209294955,20.58113303,23.55334798
1367.41,0.59,0.404385091,1.157821085,1.45E+00,-0.31,-0.206595089,20.58715584,23.55749412
1375.23,0.58,0.403238253,1.153345855,1.44E+00,-0.31,-0.203894748,20.59311319,23.56120383
1383.06,0.58,0.402106144,1.148927633,1.42E+00,-0.31,-0.201194407,20.59898325,23.56513175
1390.91,0.58,0.400988761,1.144566421,1.41E+00,-0.3,-0.198494066,20.60478785,23.56905967
1398.76,0.57,0.399885631,1.140257467,1.40E+00,-0.3,-0.195793725,20.61050516,23.57276937
1406.62,0.57,0.398797228,1.136010273,1.39E+00,-0.29,-0.193093384,20.616157,23.57647908
1414.5,0.57,0.397724028,1.131820089,1.37E+00,-0.29,-0.190392568,20.62172156,23.57997057
1422.38,0.56,0.39666508,1.127682163,1.36E+00,-0.29,-0.187692227,20.62719883,23.58368027
1430.27,0.56,0.395620859,1.123605998,1.35E+00,-0.28,-0.184991886,20.63261063,23.58717176
1438.18,0.56,0.394591841,1.119586841,1.33E+00,-0.28,-0.18229107,20.63795697,23.59066324
1446.09,0.55,0.393577551,1.115619943,1.32E+00,-0.27,-0.179590729,20.64321602,23.59415473
1454.01,0.55,0.392578463,1.111714806,1.31E+00,-0.27,-0.176889913,20.64838778,23.597428
1461.94,0.55,0.391594102,1.107866677,1.30E+00,-0.27,-0.174189097,20.65349408,23.60070126
1469.88,0.54,0.390624468,1.104075558,1.28E+00,-0.26,-0.171488756,20.65851309,23.60397453
1477.83,0.54,0.389670038,1.100341448,1.27E+00,-0.26,-0.16878794,20.66346664,23.6072478
1485.79,0.54,0.388730809,1.096669099,1.26E+00,-0.25,-0.166087124,20.66835472,23.61052107
1493.75,0.54,0.387806783,1.093053758,1.25E+00,-0.25,-0.163386308,20.67315551,23.61357612
1501.73,0.53,0.386897485,1.089490676,1.23E+00,-0.25,-0.160685492,20.67786902,23.61663117
1509.71,0.53,0.386003389,1.085989354,1.22E+00,-0.24,-0.157984676,20.68251706,23.61968622
1517.7,0.53,0.385124495,1.082549793,1.21E+00,-0.24,-0.15528386,20.68707782,23.62252305
1525.7,0.52,0.384260804,1.07916249,1.20E+00,-0.23,-0.152583044,20.6915731,23.62535989
1533.71,0.52,0.383412316,1.075836946,1.19E+00,-0.23,-0.149882227,20.69598111,23.62819672
1541.73,0.52,0.38257903,1.072568413,1.17E+00,-0.23,-0.147180936,20.70032364,23.63103355
1549.75,0.52,0.381760946,1.069361639,1.16E+00,-0.22,-0.14448012,20.70460071,23.63387038
1557.78,0.51,0.380958065,1.066207124,1.15E+00,-0.22,-0.141779304,20.70876867,23.636489
1565.82,0.51,0.380170861,1.06311912,1.14E+00,-0.21,-0.139078488,20.71289299,23.63910761
1573.86,0.51,0.37939886,1.060083374,1.13E+00,-0.21,-0.136377672,20.71693002,23.64172623
1581.92,0.51,0.378641586,1.057109388,1.12E+00,-0.21,-0.133676381,20.72087977,23.64412662
1589.98,0.5,0.37789999,1.054192412,1.11E+00,-0.2,-0.130975565,20.72476405,23.64674524
1598.04,0.5,0.377173597,1.051337195,1.09E+00,-0.2,-0.128274749,20.72856104,23.64914564
1606.12,0.5,0.376462406,1.048538988,1.08E+00,-0.19,-0.125573933,20.73229256,23.65154603
1614.2,0.5,0.375766892,1.045797791,1.07E+00,-0.19,-0.122872642,20.7359368,23.65372821
1622.28,0.49,0.375087056,1.043118353,1.06E+00,-0.19,-0.120171825,20.73951558,23.65612861
1630.38,0.49,0.374421947,1.040495925,1.05E+00,-0.18,-0.117471009,20.74300706,23.65831079
1638.48,0.49,0.373772516,1.037935257,1.04E+00,-0.18,-0.114770193,20.74641126,23.66049297
1646.58,0.49,0.373137813,1.035431598,1.03E+00,-0.17,-0.112068902,20.74977182,23.66245693
1654.69,0.48,0.372519262,1.032989699,1.02E+00,-0.17,-0.109368086,20.75302326,23.66463911
1662.81,0.48,0.371915438,1.03060481,1.01E+00,-0.17,-0.106666795,20.75620924,23.66660307
1670.93,0.48,0.371327292,1.02828168,1.00E+00,-0.16,-0.103965979,20.75932976,23.66856703
1679.06,0.48,0.370754824,1.02601556,9.92E-01,-0.16,-0.101265163,20.76236299,23.67053099
1687.19,0.48,0.370197557,1.0238112,9.83E-01,-0.15,-0.098563872,20.76533075,23.67227673
1695.33,0.47,0.369655494,1.021663849,9.73E-01,-0.15,-0.095863056,20.76821123,23.67402248
1703.47,0.47,0.369129108,1.019573508,9.64E-01,-0.15,-0.093161764,20.77100442,23.67576822
1711.62,0.47,0.368617925,1.017549677,9.55E-01,-0.14,-0.090460948,20.77373214,23.67751396
1719.78,0.47,0.368121944,1.015578106,9.47E-01,-0.14,-0.087759657,20.77637258,23.67925971
1727.94,0.47,0.36764164,1.013668294,9.38E-01,-0.13,-0.085058841,20.77894755,23.68078723
1736.1,0.47,0.367176064,1.011820242,9.30E-01,-0.13,-0.08235755,20.78143523,23.68231476
1744.27,0.46,0.366726166,1.010029199,9.22E-01,-0.13,-0.079656259,20.78385745,23.68384228
1752.44,0.46,0.366291945,1.008295166,9.14E-01,-0.12,-0.076954968,20.78619238,23.68536981
1760.61,0.46,0.365872451,1.006627644,9.06E-01,-0.12,-0.074253676,20.78844003,23.68667911
1768.79,0.46,0.36546816,1.00501238,8.98E-01,-0.11,-0.071552385,20.79062221,23.68798842
1776.98,0.46,0.365079547,1.003458876,8.91E-01,-0.11,-0.068851094,20.79273892,23.68929773
1785.16,0.46,0.364706136,1.001967133,8.84E-01,-0.1,-0.066149328,20.79474652,23.69060704
1793.35,0.46,0.364347927,1.000532398,8.77E-01,-0.1,-0.063448037,20.79668866,23.69169813
1801.55,0.45,0.364004446,0.999154673,8.70E-01,-0.1,-0.060746746,20.79854351,23.69300743
1809.75,0.45,0.363676643,0.997838708,8.64E-01,-0.09,-0.058044979,20.8003329,23.69409852
1817.95,0.45,0.363364042,0.996584504,8.58E-01,-0.09,-0.055343688,20.802035,23.69497139
1826.15,0.45,0.363067118,0.995387308,8.52E-01,-0.08,-0.052641922,20.80364981,23.69606248
1834.36,0.45,0.362784922,0.994251873,8.46E-01,-0.08,-0.049940156,20.80517734,23.69693535
1842.57,0.45,0.362517928,0.993173447,8.40E-01,-0.08,-0.047238817,20.80661758,23.69780823
1850.78,0.45,0.362266612,0.992156781,8.35E-01,-0.07,-0.044537383,20.80797053,23.6986811
1858.99,0.45,0.362030024,0.991197124,8.30E-01,-0.07,-0.041835997,20.80925801,23.69955397
1867.21,0.45,0.361808637,0.990299227,8.26E-01,-0.06,-0.039134706,20.81043639,23.70020862
1875.43,0.45,0.361602454,0.98945834,8.21E-01,-0.06,-0.036433605,20.81152748,23.70108149
1883.65,0.44,0.361411473,0.988679213,8.17E-01,-0.06,-0.033732646,20.81253128,23.70173615
1891.87,0.44,0.361235694,0.987961845,8.13E-01,-0.05,-0.031031973,20.8134478,23.70217258
1900.09,0.44,0.361074643,0.987301488,8.10E-01,-0.05,-0.028331537,20.81427702,23.70282724
1908.32,0.44,0.360928794,0.986698139,8.07E-01,-0.04,-0.025631433,20.81501897,23.70326367
1916.55,0.44,0.360798147,0.986156551,8.04E-01,-0.04,-0.022931758,20.8156518,23.70370011
1924.78,0.44,0.360682229,0.985676722,8.01E-01,-0.03,-0.020232509,20.81617552,23.70413654
1933.01,0.44,0.360581512,0.985253903,7.98E-01,-0.03,-0.017533783,20.81663378,23.70457298
1941.24,0.44,0.360495998,0.984892844,7.96E-01,-0.03,-0.014835675,20.81698293,23.7047912
1949.47,0.44,0.360425687,0.984588795,7.94E-01,-0.02,-0.012138232,20.81724479,23.70500942
1957.7,0.44,0.360370103,0.984346505,7.93E-01,-0.02,-0.009441407,20.81741936,23.70522763
1965.94,0.44,0.360329246,0.984161225,7.92E-01,-0.01,-0.006745294,20.81752847,23.70544585
1974.17,0.44,0.360303592,0.984042455,7.91E-01,-0.01,-0.004049742,20.81757211,23.70544585
1982.4,0.44,0.36029314,0.983975945,7.90E-01,-0.01,-0.001354636,20.81759394,23.70544585
1990.64,0.44,0.360292665,0.983975945,7.90E-01,0,-7.16E-06,20.81759394,23.70544585
