y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
60.95,1.16,0.880784342,3.427461494,5.26E+00,-0.93,-0.855410448,15.43197641,19.66717104
62.98,1.17,0.879188081,3.41439686,5.21E+00,-0.93,-0.852883036,15.48893127,19.71362963
65.05,1.18,0.877572818,3.401370233,5.16E+00,-0.93,-0.850350872,15.54496963,19.75925899
67.15,1.19,0.875943302,3.388376861,5.12E+00,-0.93,-0.847813958,15.60011329,19.80410277
69.28,1.19,0.874290032,3.375421495,5.08E+00,-0.93,-0.845272293,15.6544059,19.84818278
71.45,1.2,0.872617758,3.362499385,5.04E+00,-0.93,-0.842725877,15.70784746,19.89154268
73.65,1.21,0.870931233,3.34961053,5.01E+00,-0.93,-0.84017471,15.76048162,19.93418245
75.88,1.21,0.869230455,3.33675493,4.98E+00,-0.93,-0.837618793,15.81233019,19.97612393
78.15,1.21,0.867510674,3.323937337,4.95E+00,-0.93,-0.835058125,15.86343682,20.01738893
80.45,1.22,0.865776641,3.311148248,4.92E+00,-0.93,-0.832492706,15.91377969,20.0580211
82.78,1.22,0.864023605,3.298397166,4.89E+00,-0.93,-0.829922536,15.96342426,20.09802044
85.14,1.22,0.862261067,3.285679339,4.87E+00,-0.93,-0.827352366,16.01234871,20.13738695
87.53,1.23,0.860479526,3.272994767,4.84E+00,-0.93,-0.824772695,16.0606185,20.17618609
89.96,1.23,0.858688484,3.260343451,4.82E+00,-0.93,-0.822193024,16.10821183,20.21439604
92.42,1.23,0.856883189,3.247725391,4.80E+00,-0.93,-0.819608601,16.15515049,20.25203863
94.92,1.23,0.855063642,3.235140585,4.78E+00,-0.93,-0.817024179,16.20147815,20.28913567
97.44,1.23,0.853229842,3.222589036,4.76E+00,-0.93,-0.814435007,16.2471948,20.32570899
100,1.23,0.851386541,3.210075492,4.75E+00,-0.93,-0.811841083,16.29230044,20.36175859
102.59,1.23,0.849528988,3.197590453,4.73E+00,-0.93,-0.809247159,16.33686053,20.39730628
105.21,1.23,0.847661933,3.18513867,4.71E+00,-0.92,-0.806648485,16.38083144,20.43237389
107.86,1.23,0.845780626,3.172715391,4.70E+00,-0.92,-0.80404506,16.4242568,20.46696143
110.55,1.23,0.843889817,3.160325367,4.68E+00,-0.92,-0.801441635,16.46715843,20.50106889
113.27,1.23,0.841989507,3.147968599,4.67E+00,-0.92,-0.798838209,16.50953635,20.53473991
116.02,1.23,0.840074944,3.135640336,4.66E+00,-0.92,-0.796225283,16.55139054,20.56795267
118.8,1.23,0.83815088,3.123345328,4.64E+00,-0.92,-0.793617107,16.59274283,20.600729
121.62,1.23,0.836217314,3.111078825,4.63E+00,-0.92,-0.790999429,16.63361504,20.63309071
124.46,1.23,0.834274247,3.098845577,4.62E+00,-0.92,-0.788386503,16.67398535,20.66503781
127.34,1.23,0.832321678,3.086640834,4.61E+00,-0.92,-0.785768825,16.71391922,20.69659212
130.25,1.23,0.830359607,3.074469346,4.59E+00,-0.92,-0.783146397,16.75337302,20.72775363
133.19,1.23,0.828388035,3.062326363,4.58E+00,-0.91,-0.780528719,16.79239038,20.75852235
136.17,1.23,0.826411712,3.050211884,4.57E+00,-0.91,-0.77790154,16.8309713,20.78889828
139.17,1.23,0.824421137,3.038135412,4.56E+00,-0.91,-0.775279112,16.86911579,20.81892507
142.21,1.23,0.822425812,3.026082694,4.55E+00,-0.91,-0.772651933,16.90684566,20.8486027
145.28,1.22,0.820420984,3.014063231,4.53E+00,-0.91,-0.770024754,16.94416092,20.87790936
148.38,1.22,0.818406655,3.002067522,4.52E+00,-0.91,-0.767392824,16.98110521,20.90686688
151.51,1.22,0.816387575,2.990105068,4.51E+00,-0.91,-0.764760894,17.01761306,20.93549706
154.67,1.22,0.814358994,2.978171119,4.50E+00,-0.91,-0.762128964,17.05377177,20.96379992
157.87,1.22,0.812320911,2.966265675,4.49E+00,-0.9,-0.759497035,17.08953768,20.99177546
161.09,1.22,0.810278078,2.954388735,4.48E+00,-0.9,-0.756860354,17.12493262,21.01942366
164.35,1.22,0.808225743,2.9425403,4.47E+00,-0.9,-0.754218923,17.15995659,21.04676636
167.64,1.22,0.806168657,2.93072037,4.46E+00,-0.9,-0.751582242,17.19460959,21.07382538
170.96,1.21,0.804102069,2.918928944,4.44E+00,-0.9,-0.748940811,17.22893527,21.10055707
174.31,1.21,0.802030731,2.907166023,4.43E+00,-0.9,-0.746299379,17.26291179,21.12700508
177.69,1.21,0.799954642,2.895431607,4.42E+00,-0.9,-0.743657948,17.29653917,21.15316941
181.1,1.21,0.797869051,2.883720945,4.41E+00,-0.89,-0.741011766,17.32983922,21.17902823
184.55,1.21,0.79577871,2.872038787,4.40E+00,-0.89,-0.738365584,17.36281194,21.20464701
188.02,1.21,0.793678867,2.860385134,4.39E+00,-0.89,-0.735719401,17.39547916,21.22996028
