y/delta,y^+,U,dU/dy,W,P,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k
-0.04998597822750598,0.07116305371701033,0.027902986270918747,0.9897264045168302,0.04693220188879205,0.0722539469459108,5200.078849664233,0.003959377547760633,-0.0610932797421416,0.08091484017659781,0.045418214132442014,0.010587809834751112,0.0796564972727482,-0.012921625435143266
0.0705051692432798,0.03295111640553661,0.16180526510191995,1.001397103014253,0.04709571624897402,-0.08066505298310414,5200.040686234083,-0.06856743407145334,0.04393797545061898,-0.04074760225877576,0.09312116065926941,-0.03829026583544719,0.024962013927557942,-0.04925630511301808
0.10747727222625934,0.20793947577581307,0.2024039906910421,1.1490483086981895,0.015921403618392574,0.03933880213481961,5200.075515482233,0.015562960617704295,-0.049168830134755405,0.018389852182367855,0.11162212925845146,-0.01492597527773926,-0.0027225180810732195,-0.03704310562768333
-0.024686979754174478,0.3323746178210535,0.42562286799671456,1.0596317152360868,-0.020297389322674268,0.024809596582758067,5200.006852920838,0.013230025053234708,0.11680158854256521,-0.03130437075158323,-0.06151910146827016,-0.05488614611332495,-0.04707342870532049,0.03271098337926485
-0.041759528744209726,0.6854709768918174,0.8055832042687261,1.027034845185655,0.045832187737615125,0.010335318790958416,5200.040119883701,0.05647767441662363,0.12566387258651243,0.01773687664244704,-0.05206110327891073,0.009820723498628895,0.07642497260533558,0.03139680442460012
-0.022512687869293536,1.1375974226030259,1.1494018552462708,0.9800633039552061,0.02189644074659903,-0.04306380872966035,5200.045733125701,0.23794221189234926,0.06584830532062756,0.05430089832018024,-0.08881000662711329,0.03416921710042026,-0.06183606011864191,0.23477963000927188
-0.017936900719376245,1.6710533812351223,1.5653673800953243,0.8783412523353864,-0.09643286084793855,0.019595789684177915,5199.948845580089,0.4584344345171129,0.025329025221204195,0.09864803013004089,0.06457762480749837,0.027396920214833614,-0.012447362223544723,0.39960494758855736
0.054940880855502264,2.158868896349275,2.2297040565274306,0.9589583872477505,0.013866354642098427,-0.024923583194401862,5199.92653930894,0.8206690854956145,-0.015943699670809382,0.29505746338652744,-0.012187043232185054,0.05646488701807087,0.060891236657220064,0.5595689228917912
-0.00028913695147179475,2.7308809958214346,2.6906797423635442,0.9368755049903914,0.06687934849867731,0.014664777892295245,5199.956447914931,1.3232862162868142,-0.029590456405332335,0.34128446870732665,-0.12246140550736072,-0.04075268626951102,0.046840208669466844,0.8924997109919708
-0.004223181040235664,3.427835050748137,3.2404929270595577,1.059775516993401,0.05433592883657249,-0.005941740127020223,5200.098230004332,2.0460978660676536,0.014836711149694658,0.5919366608289345,-0.03275638728210242,-0.0034577406419928455,0.09589231401684196,1.3343899786369697
-0.02426188219977226,3.960688073453105,3.9234030730319978,0.8286679411163502,-0.0007732628418439283,0.022075834030646245,5200.022987634046,2.704155129390671,-0.0547208518597964,0.5573234114779829,-0.04172974844146243,-0.009322220390853628,-0.05789398509777802,1.6194665140060012
0.04354996199940688,4.565429963248856,4.452387642333689,0.8845626597156672,-0.053683103565238685,-0.043725983872155504,5199.913340717394,3.3858920432581634,-0.02465985380333194,0.695326270152895,-0.0963851528728062,-0.050476583082000974,0.032680828035741065,2.0640124319271833
0.08309228988132028,5.309225449264045,5.036679764129278,0.789308615187705,-0.01301607924779155,-0.02886838309754751,5199.949140996296,4.154650467849179,0.08884081491745612,0.889231230686059,-0.1635633812415529,-0.028533452048337148,-0.03787979058191536,2.4886150128178577
-0.044210467940407346,5.879421467255269,5.612176011706378,0.839783145810022,-0.04542088021768013,-0.047961949810773064,5200.0302109771155,4.967837452509972,0.050497260207009224,0.9473971963816269,-0.21395295517869434,0.02553195307151774,0.0032105187864029426,2.965991829797848
0.006784545383488519,6.586869939703803,6.128120649433757,0.7151533019941039,0.007931486821249091,-0.06748366108194737,5200.020827511075,5.7179330260062295,0.12505110672247988,1.1418210413330088,-0.28315085730556877,0.027107446427332454,-0.010085053742938449,3.346546958521069
-0.0788732354390194,7.3814287621501355,6.7911298321122215,0.7067543611294423,-0.02803585704828107,-0.017399463291926633,5199.977175399336,6.31424475387432,0.02376060895170977,1.2269649590494494,-0.25886693903652025,0.0072126316535266,-0.03690754610992893,3.9555889079649322
0.00988270386181347,8.218514552677378,7.318956013968267,0.6222511176699039,-0.021318977200137812,-0.059154152757470255,5200.018641816541,6.951396927363425,0.14504528868611472,1.26651782699434,-0.29964756250254226,-0.011744908869197357,-0.06045197353397121,4.1925388775375305
-0.0028321962953164175,8.89050532819509,7.730350037465284,0.5237306864961335,-0.03065507888798002,-0.055762893613046864,5200.02961074598,7.600705356124283,0.22501357609423359,1.3108705171248054,-0.43087972141790437,-0.02636251649103837,-0.038398460706455084,4.431270248696562
-0.07757427368234943,9.613652103777637,8.174245438884837,0.5808983478260064,0.031230265635792565,-0.10184785275578676,5199.975989219222,7.987041136473635,0.1058225053831639,1.5349843158215617,-0.43313763477943246,0.09359550556664974,-0.02535015558483339,4.736349417997757
0.031654623206749256,10.392559196135924,8.648877778105948,0.5441018294793473,-0.0728729094066984,-0.1423180001389196,5200.058188392462,8.24176264115938,0.1687716724508495,1.6428001820481886,-0.5375749746971663,-0.038018640848076865,0.03120785255594459,5.026419673471159
-0.03689010937752883,11.389253448639332,9.061122310644418,0.43785906667030494,0.06861761706382338,-0.17074749193958363,5200.008280420013,8.58250050141444,0.16245070879181023,1.6315146320871987,-0.5181763094065162,-0.024983359618380264,-0.005569854945087741,5.340039991312278
0.017688876048006806,12.131784440969712,9.55886651870112,0.5268910910587972,-0.008993866537560393,-0.21820959306336224,5199.992980342199,8.865102173675703,0.2293280446025802,1.7901857910067311,-0.5523399498733861,-0.008939802380242997,0.013065403821614746,5.375895656023202
0.04613975115994887,13.047984181891666,9.856240655881779,0.3970081959871272,0.04964106366479521,-0.31386548974380263,5199.986803230074,8.947116204528792,0.23591277058608223,1.8447815207436467,-0.5318124876054944,0.050141021425030165,0.015774250344074002,5.682271726943263
0.03386066685657084,13.9691924446905,10.174208885173867,0.3302060672253927,0.02404233208403832,-0.258438050528608,5199.964002271861,9.1446275907067,0.1828255151943723,1.9017861083708019,-0.6373548411623058,0.06893343909924221,-0.0010583228861042657,5.600476330785341
