y/delta,y^+,U,dU/dy,W,P,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k
0.0,0.0,0.0,1.0,0.0,0.0,5200,4.176503139302004e-36,0.0,-4.685006664461505e-10,0.0,-6.964740163543049e-40,0.0,-2.3425033322307525e-10
1.371071353273301e-05,0.0711023501982926,0.071101855656547,0.9999858899371266,-1.120892048566094e-05,-4.717271551396461e-09,5200,0.0010057296300364,4.711428583307734e-09,0.0004434640182224,-3.980482056045502e-07,-8.647142289694951e-08,6.027251848120076e-11,0.0007245991798437
4.169953934984871e-05,0.2162495221624994,0.2162444005069231,0.9999469147763482,-3.409120844921682e-05,-3.851045470507787e-07,5200,0.0092711345069473,3.846287241004186e-07,0.0039593687543747,-1.13718246691514e-05,-8.119894627154512e-07,1.722110955671311e-09,0.0066154439450231
8.453381948780869e-05,0.4383836933411095,0.4383546313113363,0.9998185653292307,-6.91104941449223e-05,-6.05574272325033e-06,5200,0.0379246352867789,6.04829231846731e-06,0.0154263297000859,-9.679784760567144e-05,-3.408324203057311e-06,1.466384983529192e-08,0.0266785066395916
0.0001427808370142,0.740446735376326,0.7403063177345499,0.9993785912833544,-0.0001167228118251,-4.477271293683394e-05,5200,0.1075991555237776,4.471795879474329e-05,0.0409923974761175,-0.0004781457254533,-9.973360601192436e-06,7.246230200962355e-08,0.0743181354793449
0.000217007813775,1.125380202420942,1.124780601314649,0.998062614991192,-0.0001773545210429,-0.0002117845420306,5200,0.2469056764728029,0.0002115274855986,0.086697743864142,-0.001718677337371,-2.365298783456456e-05,2.605719407305371e-07,0.1669074739112718
0.0003077819081407,1.596125319450033,1.593912181611315,0.9947055589386128,-0.000251347221309,-0.0007417624650345,5200,0.4920761127102227,0.0007408701319817,0.1570620498637934,-0.0049817682847259,-4.865495282468065e-05,7.5542027784359e-07,0.3249395163529989
0.0004156702127537,2.155622970581291,2.148568636179321,0.9872936380317612,-0.0003388468831528,-0.0020880009817424,5200,0.883968313463455,0.0020855148234281,0.2540232003608626,-0.0122787055559658,-8.978143645795672e-05,1.860546199885885e-06,0.5700385143238729
0.0005275290387434,2.735711337193032,2.717918867902522,0.9748179109346056,-0.0004286940414824,-0.0045795756111991,5200,1.391516383504098,0.0045741793007306,0.3628868345096443,-0.0246306029400904,-0.0001438436521909,3.725004435692765e-06,0.8794886986572366
0.000643357941787,3.336388115074059,3.298192924991181,0.9562887308572536,-0.000520315464249,-0.0085647452930013,5200,2.002918592492006,0.0085547588218119,0.4790678189993579,-0.0430261676001718,-0.0002090492999646,6.487550667019493e-06,1.245270585156588
0.0007631564617923,3.95765091823304,3.884810062158415,0.9312143085821216,-0.0006130228507725,-0.0143432040763038,5200,2.697083123343675,0.0143266544976379,0.5990438772118853,-0.0679567317407124,-0.0002823447028575,1.020744451286445e-05,1.655226827526599
0.000886924122899,4.599497278907139,4.472661471036921,0.8996593658158216,-0.0007060581921785,-0.0221551432485742,5200,3.445994837431021,0.0221298419812521,0.7202357171717447,-0.099357648422942,-0.0003599078941718,1.486036832980654e-05,2.094180198292009
0.0010146604334804,5.261924647571224,5.056451911678452,0.8622016752149116,-0.0007986449067295,-0.0321794136214287,5200,4.218370752185365,0.0321430305405279,0.8408398207670033,-0.1366517079500359,-0.0004377430820831,2.034902719608629e-05,2.545676801746448
0.0011463648861459,5.944930392949966,5.631040719012941,0.8198167667632708,-0.0008900359093374,-0.0445367707300484,5200,4.983497331857055,0.0444868998750257,0.9596438236773368,-0.178864316760865,-0.0005121960072443,2.652139418158893e-05,2.993814027704709
0.0012820369577428,6.648511802027046,6.191734746573503,0.7737284660928244,-0.0009795534558467,-0.0592951430967047,5200,5.714370530246509,0.0592293578704904,1.07585161947444,-0.2247728164384186,-0.0005802848245074,3.319897992679885e-05,3.42472575379572
0.0014216761093581,7.372666080054942,6.734504325216657,0.7252583950226856,-0.0010666164411943,-0.0764749991344046,5200,6.389683782639549,0.0763908980380254,1.188936426284674,-0.2730568406437616,-0.0006398366457009,4.019048804757281e-05,3.827505553481124
0.001565281786321,8.117390350568176,7.256111921581341,0.6756973507010433,-0.0011507565520422,-0.096053932601899,5200,6.994613934909116,0.0959491781857364,1.298530389382188,-0.3224268187495392,-0.0006894848813328,4.730651602090066e-05,4.19454675123852
0.0017128534182051,8.882681655393672,7.754158045599447,0.6262103961235123,-0.0012316245354576,-0.1179703708786746,5200,7.520625289776707,0.1178427239763971,1.404351135123613,-0.3717187995118702,-0.0007285934580542,5.438953028680476e-05,4.521409574438359
0.0018643904188303,9.668536954662272,8.227058594739763,0.5777783178119661,-0.0013089824294662,-0.1421267639817894,5200,7.964627136814526,0.141974114455463,1.506160116131893,-0.4199529334143858,-0.0007571221308277,6.130008783913752e-05,4.806380683700941
0.0020198921862656,10.47495312682141,8.673972360172826,0.5311718211553739,-0.0013826923845566,-0.1683927569343318,5200,8.327816005286795,0.1682131521113594,1.603744816944503,-0.4663592637429678,-0.0007754701899962,6.79303926048226e-05,5.049886987171329
0.002179358102831,11.30192696864662,9.094697867056889,0.4869514639513856,-0.0014527002522276,-0.1966087699473664,5200,8.614462979202218,0.1964004428192719,1.696916327036239,-0.5103777808489457,-0.0007842907818878,7.422020645027458e-05,5.253889874528864
0.0023427875351006,12.14945519525534,9.48955643693405,0.4454852641894829,-0.0015190139399437,-0.2265902175828637,5200,8.830814306843106,0.2263516148627094,1.785514788822818,-0.5516408225715267,-0.0007843342616703,8.012414956193438e-05,5.421340355264316
0.0025101798339043,13.01753444011904,9.859274626459758,0.4069764578706155,-0.0015816901128553,-0.2581323788835346,5200,8.984189789328289,0.2578621850813868,1.869417270479614,-0.5899453502913321,-0.0007763777102943,8.562272466603456e-05,5.555734622444644
0.0026815343343311,13.90616125507758,10.20487510228769,0.3714953193895211,-0.0016408170271151,-0.2910157485237785,5200,9.082301283462773,0.2907129054278092,1.948544564885448,-0.6252211466289805,-0.0007611843144791,9.072079362087031e-05,5.660779376888015
0.0028568503557314,14.81533211035189,10.52758125227852,0.3390106735892723,-0.0016965051937498,-0.3250115950264131,5200,9.132775233646273,0.3246753184000326,2.022865172824118,-0.6574993405760085,-0.0007394889335682,9.54276673201118e-05,5.74015786243521
