y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,Re_tau
-0.17058981144211496,0.13603993071803727,-0.22935526754444063,0.8673796610114989,0.05617366192654815,-0.0479886989374817,0.11553739412646476,0.32698286725576736,-0.08128615585169473,-0.14184424208608176,-0.02618474280814936,0.12334475602166409,0.04850560819193132,5200
-0.08678482408996493,0.02543289199040695,0.2937899163614395,1.1707872765494909,-0.19862412879773433,0.21693033462576053,-0.10861055865756729,-0.169766734745508,0.009986534554658803,0.24498186035719735,-0.12968664168599114,0.22443441071396503,-0.01976239213656961,5200
0.21404396822670413,0.05614448365647459,0.1675220940358177,0.8860829801577089,0.016885328756033244,-0.2752544198866722,0.23604569192532684,0.1934400929281545,0.16921452890999464,0.06337992993366594,-0.05434864739996521,-0.08635759637349226,-0.022328725108617952,5200
-0.007093685688059206,0.05520947092359879,0.715514458176007,0.99064804275172,0.012189242853790876,0.13753439581194846,-0.10690988885419953,0.22793238185243928,0.051608328722190316,-0.21799249098985912,0.06126770430482732,0.3137030306189746,-0.4449114065173966,5200
-0.05665666507824015,0.4809481553152731,0.6642476961485906,1.0538268045323815,0.14573510975655557,-0.1566168034592638,0.0761727576993789,0.07943940117556295,0.08493983096208148,0.0654849254794621,0.07710210898876056,0.18633542922595955,0.37857712511310665,5200
0.022049763856368827,0.9005185513879272,1.0776686356751268,1.2466302138107888,0.12953130543673894,-0.0410922327495458,0.42135285885559404,0.18379385804315618,-0.10869291713880685,-0.12439744596648322,0.001808495972284182,-0.07188136929763382,-0.09321099716258285,5200
0.5451302698455956,1.559067125936398,1.7416329040313485,0.7999514641333658,0.1445816391708273,-0.1759975305327181,0.15838207108011065,-0.20116143673957382,0.29101143383285255,0.3289898099636059,0.24763857878703557,0.07913853603494582,0.43438654877455773,5200
0.171167718062904,2.163207452106096,2.1332420469582947,0.9345462082189546,0.26642410662361093,0.0941922659384025,0.8314721363401328,-0.13881291856610023,0.26552568186704484,-0.04550496640547131,-0.19939325798466923,-0.21656137164441533,1.029551990559344,5200
0.02540691388592978,2.845744457040831,2.454487816629479,0.9461264373288242,-0.042767103605711475,-0.08598531603236013,1.5152519343428552,-0.3223610356769549,0.48581246413545265,-0.29568377752679936,0.07018302843675217,-0.00708583776422906,1.138953597094999,5200
0.04559928366950687,3.1637294780600342,3.405748557595757,1.1169435737381939,-0.06163333724778372,-0.15949757321597977,2.5114494749716916,0.32900944952305305,0.09685976573316946,-0.28425344887402987,-0.10927212840083601,0.19676233202788954,1.1524269754425183,5200
