y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'p',v'p',w'p',u'u',v'v',w'w',u'v',u'w',v'w',k
0.0514288718045317,102.5880700815948,16.4831995570946,0.0230669868020855,0.004521968560155,-1.232191236446204,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.6423372749440389,-0.2092313279738929,0.0055206245145285,4.730631121458019,1.232191236446204,2.192818525584304,-0.9252087735868904,0.0055013166573201,-0.0001641292152405,4.077820441744263
0.3069176626947427,612.2259653969913,21.18674907456163,0.0047434112950902,-0.005852277661072,-0.9890694739280126,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.4398776619691498,-0.1152400105008284,0.0007145696217782,3.094047703019843,0.9890694739280126,1.338708781634051,-0.6890087960969229,-0.0034283120667403,-0.0004023673771671,2.710912979290953
0.7809376950699636,1557.780448610524,24.02097642089367,0.0016450324430135,0.006807433358591,-0.5127827111618368,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.1696117155070297,-0.034802311900525,-0.0024788094895472,1.150971759118397,0.5127827111618368,0.5724728811149233,-0.2185041736339293,-0.0044935601415486,-0.000613143982923,1.118113675697578
0.4402775087176636,440.5027663322372,20.46112711626671,0.0070090451909991,-0.0052906376925059,-0.8156713382175638,2304,512,2048,25.132741228718345,9.42477796076938,7,5e-05,1.0,1.0,0.0500256,1000.512,0.3698344043048405,-0.0883575459082826,-0.0009013821538238,2.239581617515107,0.8156713382175629,1.064852041978056,-0.5529085939125435,0.0036206872588152,0.0001420915441359,2.060052498855363
0.4763757846632491,950.2536351167212,22.50713142076947,0.0032843204527305,-0.0064353032836234,-0.7980652305061434,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.3925545703805233,-0.0877610217018497,0.0009848617652213,2.260316727271364,0.7980652305061434,1.034488292943897,-0.5212659654839051,-0.0028835947622362,-0.0002992774367021,2.046435125360702
0.7774125895518065,4031.581730513753,26.21619286654848,0.0005985897466443,0.0012591665757641,-0.547786193608019,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.1769822488295279,-0.0382080784241197,0.0046746789344108,1.143538419676175,0.5456109671113681,0.6089975057741343,-0.2203015759171745,-0.0029725776386643,-0.000616389727981,1.149073446280839
0.8538744845442203,4428.105253640123,26.41692191881268,0.0004104621237244,-0.0014405252039906,-0.5084123025616263,10240,1536,7680,25.132741228718345,9.42477796076938,7,8e-06,1.0,1.0,0.0414872,5185.897,0.1101352031992107,-0.0237147015331743,0.0071027901583181,0.9489111056789676,0.5067992999291039,0.5383539784441198,-0.1445050293029963,-0.0026186350696656,-0.000509160227356,0.9970321920260956
0.4212883091057552,840.3675418617578,22.12758136610584,0.0036243848161709,-0.0061004887156128,-0.8605008676236513,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.4131958743421067,-0.0963030324086707,0.0013186170358267,2.510170093011405,0.8605008676236513,1.130852135665445,-0.5759560396587878,-0.0028531960496251,-0.0003435686384376,2.25076154815025
0.1984206767898382,198.522194054406,18.17877591937771,0.0134580905403287,-0.003962826098482,-1.077398374058208,2304,512,2048,25.132741228718345,9.42477796076938,7,5e-05,1.0,1.0,0.0500256,1000.512,0.4224415249684384,-0.1319134645076563,0.0013136318180516,3.319964613477985,1.077398374058206,1.543516216869892,-0.7877387895295302,0.0019953076036407,7.621227354724376e-05,2.970439602203041
0.0823914564699256,164.3508833440248,17.63507018991292,0.0153363468049364,0.0049158740438359,-1.216608879462463,4096,768,3072,25.132741228718345,9.42477796076938,7,2.3e-05,1.0,1.0,0.0458794,1994.756,0.4988197734016471,-0.1823012997572376,0.0025460449922952,4.466591096986905,1.216608879462463,1.975286830161022,-0.902135443945285,0.0052412643353951,-0.0003275664675654,3.829243403305195
