y/delta,y^+,U,dU/dy,W,P,nx,ny,nz,Lx,Lz,n,nu,delta,U_mean,u_tau,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k,u'p',v'p',w'p'
0.0758434517708237,16.64603925336729,11.07262920997847,0.2804593469340042,0.0001445906198978,-0.392389889781528,6144,192,768,314.1592653589793,15.707963267948966,7,0.00025,1.0,1.0,0.0548697,219.479,8.814467743523196,0.392389889781528,1.837154463015373,-0.719578199698994,-0.0012946505413731,-2.824838208182345e-05,5.522006048160048,0.5500776245654783,-0.1762054835254033,0.0007202000434063
0.756388301019699,165.7649074546856,17.52591433084781,0.0147837219933044,-0.0014396409432452,-1.275930744670683,1280,192,768,62.83185307179586,15.707963267948966,7,0.00025,1.0,1.0,0.0547883,219.153,5.073383132652416,1.275930744670683,1.664585662550587,-0.9851992645551432,0.0055558207531008,-2.382149283634901e-05,4.006949769936842,0.1564598167388894,-0.0576869344913841,0.0012873041223445
0.0319766049655497,16.03211423133192,10.8944023026331,0.2990720821872596,0.0003150143942053,-0.372959507286502,15360,256,1536,314.1592653589793,15.707963267948966,7,0.0001,1.0,1.0,0.050137,501.37,9.74780237850065,0.372959507286502,2.033196998217641,-0.7009099669288024,0.0002391511133078,-1.34024046528523e-05,6.076979442002397,0.5361123282708068,-0.1862624381041838,-0.0025559354633651
0.5899390424784285,296.5239922817012,18.99916273472596,0.0069143995315928,0.0022660280857911,-1.164602044923708,3072,256,1536,62.83185307179586,15.707963267948966,7,0.0001,1.0,1.0,0.0502635,502.635,6.60951949630658,1.164602044923708,1.706016346556456,-0.9940513059744815,0.0079121832275926,-3.364426786016828e-05,4.740068943893372,0.2268198638900548,-0.1125059979886141,-0.0019825478858041
0.1781057131529707,89.52215959537804,16.12425390156098,0.0265702299008413,0.001719919387159,-1.229319496484711,3072,256,1536,62.83185307179586,15.707963267948966,7,0.0001,1.0,1.0,0.0502635,502.635,6.755220045088047,1.229319496484711,2.449604788368939,-0.9736461417929928,0.0077583674085291,-0.0001205746910451,5.217072164970848,0.6482754090400374,-0.2258974136213766,0.0001579877944527
0.0634558417689823,13.906550014211,10.18996817288631,0.3678380442654581,0.0003990682611586,-0.2896553404467586,1280,192,768,62.83185307179586,15.707963267948966,7,0.00025,1.0,1.0,0.0547883,219.153,8.777837503726179,0.2896553404467586,1.663774067308698,-0.6321591263786502,0.004325980326069,-5.105301825319875e-06,5.365633455740817,0.4521000461771484,-0.1789694706926762,-0.0001574055801094
0.0286882351533256,6.28711818892269,5.910613039225646,0.7975291313528585,0.0002287760874977,-0.0504054939414914,1280,192,768,62.83185307179586,15.707963267948966,7,0.00025,1.0,1.0,0.0547883,219.153,5.199405757726779,0.0504054939414914,0.8975730835053014,-0.2024695290911827,0.0016084946767645,-1.375172270086661e-05,3.073692167586786,0.3246672573110208,-0.1225599013641467,-9.459327091965414e-05
0.0134407766123032,1.249027266622089,1.248303562250853,0.9976541698651946,8.731505541789403e-05,-0.000283619339688,640,128,288,62.83185307179586,15.707963267948966,7,0.000666667,1.0,1.0,0.0619521,92.928,0.2633155022869069,0.000283619339688,0.0870788533212554,-0.0023452377660316,0.0001849804683419,-1.815907175357945e-06,0.1753389874739252,0.1482935638091241,-0.0134306618308189,9.864843635999352e-05
0.7073460853365527,155.017149546307,17.36277605829912,0.0156053495412649,-0.0011209216229284,-1.274520285831281,1280,192,768,62.83185307179586,15.707963267948966,7,0.00025,1.0,1.0,0.0547883,219.153,5.09317789333666,1.274520285831281,1.690608737707215,-0.9843699070475264,0.0062663659495841,-2.646278203125409e-05,4.029153458437579,0.1943229977814818,-0.0705426519401481,0.0010030074705245
0.0031813826488131,1.599074168813487,1.597060457187902,0.9949073356836526,0.0002112505123988,-0.0007431257496025,3072,256,1536,62.83185307179586,15.707963267948966,7,0.0001,1.0,1.0,0.0502635,502.635,0.523218330806548,0.0007431257496025,0.1547037935677823,-0.0050930071096992,0.0002536893867499,-1.276429883966538e-06,0.3393326250619664,0.203465501675488,-0.0225117032146957,0.0005529115938855
